,电影,类型,导演,主演
1300,副总统,剧情/喜剧/传记/历史,亚当·麦凯,克里斯蒂安·贝尔/艾米·亚当斯/史蒂夫·卡瑞尔/山姆·洛克威尔/娜奥米·沃茨/艾丽森·皮尔/埃迪·马森/贾斯汀·柯克/丽莎·盖伊·汉密尔顿/杰西·普莱蒙/比尔·坎普/唐·麦克马纳斯/莉莉·拉贝/谢伊·惠格姆/斯蒂芬·阿德利·葛尔盖/泰勒·派瑞/杰夫·博斯利/吉利安·阿美娜特/马修·雅各布斯
1301,精灵旅社3：疯狂假期,喜剧/动画/奇幻,格恩迪·塔塔科夫斯基,亚当·桑德勒/凯瑟琳·哈恩/史蒂夫·布西密/赛琳娜·戈麦斯/阿什·布林克夫/梅尔·布鲁克斯/科甘-迈克尔·凯/安迪·萨姆伯格/法兰·德瑞雪/大卫·斯佩德/凯文·詹姆斯/莫莉·香侬/格恩迪·塔塔科夫斯基/乔·怀特/克莉丝汀·泰根/乔·乔纳斯/吉姆·加菲根
1302,企鹅公路,动画,石田祐康,北香那/苍井优/钉宫理惠/潘惠美/福井美树/能登麻美子/久野美咲/西岛秀俊/竹中直人
1303,蒙上你的眼,剧情/科幻/惊悚,苏珊娜·比尔,桑德拉·布洛克/崔凡特·罗兹/约翰·马尔科维奇/莎拉·保罗森/杰基·韦佛/罗莎·萨拉查/丹妮尔·麦克唐纳/里尔·莱尔·哈瓦瑞/汤姆·霍兰德/机关枪凯利/黄荣亮/普路特·泰勒·文斯/维维恩·莱拉·布莱尔/帕敏德·纳格拉/丽贝卡·彼得根/艾米·古麦尼克/泰勒·汉德雷/海皮·安德森/大卫·达斯马齐连/基思·雅各/克里斯托弗洛根/弗兰克·莫特克/泰德·霍利斯/麦特·伦纳德
1304,银魂2,喜剧/动作/冒险,福田雄一,小栗旬/菅田将晖/桥本环奈/柳乐优弥/吉泽亮/三浦春马/洼田正孝/室毅/长泽雅美/冈田将生/木村绿子/佐藤二朗/中村勘九郎/堂本刚/堤真一/胜地凉/夏菜/户塚纯贵/立木文彦
1305,北极,惊悚,乔·佩那,麦斯·米科尔森/MariaThelmaSmáradóttir
1306,三方国界,动作/犯罪/冒险,J·C·尚多尔,本·阿弗莱克/查理·汉纳姆/佩德罗·帕斯卡/奥斯卡·伊萨克/亚德里亚·霍纳/加内特·赫德兰/希拉·凡德/雷纳尔多·加列戈斯/克里斯汀·霍恩/穆罕默德·哈肯沙迪/迈克尔·本杰明·埃尔南德斯/佩德罗·洛佩兹/肖恩·麦克布莱德/杰森·奎恩/卡洛斯·利纳雷斯
1307,芳龄十六,科幻,丹尼什卡·埃斯特哈奇,凯蒂·道格拉斯/塞莉纳·马丁/莎拉·坎宁/阿玛莉亚·威廉姆森/凯特·维克里
1308,登月第一人,剧情/传记/历史,达米恩·查泽雷,瑞恩·高斯林/克莱尔·芙伊/杰森·克拉克/凯尔·钱德勒/寇瑞·斯托尔/派屈克·福吉特/克里斯托弗·阿波特/塞伦·希德/奥莉维亚·汉密尔顿/巴勃罗·施瑞博尔/谢伊·惠格姆/卢卡斯·哈斯/伊桑·恩布里/布莱恩·达西·詹姆斯/科里·迈克尔·史密斯/克里斯·斯万博格
1309,驭风男孩,剧情,切瓦特·埃加福特,切瓦特·埃加福特/麦斯威尔·辛巴/莉莉·班达/爱伊莎·玛依卡/诺玛·杜梅温尼/约瑟夫·马塞尔
1310,T-34坦克,动作/历史/战争,阿列克赛·西多洛夫,亚历山大·佩特罗夫/文森兹·凯弗/维克多·多勃朗拉沃夫/伊琳娜·斯达申鲍姆/谢苗·特列斯库诺夫/尤利斯·鲍里索夫/阿尔焦姆·贝斯特罗夫/约书亚·格罗斯/伊格·克里普诺夫/彼得·斯科沃尔佐夫
1311,你的鸟儿会唱歌,剧情,三宅唱,柄本佑/染谷将太/石桥静河
1312,极线杀手,动作,乔纳斯·阿克伦德,麦斯·米科尔森/凡妮莎·哈金斯/凯瑟琳·温妮克/罗伯特·梅耶/马特·卢卡斯/露比·欧·菲/阿伊莎·伊萨/阿纳斯塔西娅·玛莉尼娜/佩德罗·米盖尔·阿尔斯/约翰尼·诺克斯维尔/罗维娜·亚瓦里/任霏/克雷格·伯纳托夫斯基/米歇尔·C·福柯
1313,咖啡未冷前,剧情/爱情/奇幻,冢原亚由子,有村架纯/伊藤健太郎/波瑠/林遣都/深水元基/松本若菜/药师丸博子/吉田羊/松重丰/石田百合子
1314,乐高大电影2,喜剧/动画/歌舞/冒险,迈克·米切尔,克里斯·帕拉特/伊丽莎白·班克斯/威尔·阿奈特/蒂凡尼·哈迪斯/斯蒂芬妮·比翠丝/爱丽森·布里/尼克·奥弗曼/查理·戴/玛娅·鲁道夫/威尔·法瑞尔/杰登·桑德/布鲁克琳·普林斯/查宁·塔图姆/乔纳·希尔/理查德·艾欧阿德/本·施瓦茨/诺尔·费丁/杰森·莫玛/寇碧·史莫德斯/伊克·巴里霍尔兹/拉尔夫·费因斯/威尔·福特/欧阳万成/乔玛·塔科内/布鲁斯·威利斯/加里·佩顿
1315,山茶花飘零,剧情/动作,木村大作,冈田准一/西岛秀俊/黑木华/池松壮亮/绪形直人/柳乐优弥/芳根京子/骏河太郎/渡边大/麻生久美子/石桥莲司/富司纯子/奥田瑛二
1316,侏罗纪世界2,动作/科幻/冒险,胡安·安东尼奥·巴亚纳,克里斯·帕拉特/布莱丝·达拉斯·霍华德/贾斯蒂斯·史密斯/伊莎贝拉·瑟蒙/拉菲·斯波/托比·琼斯/泰德·拉文/詹姆斯·克伦威尔/黄荣亮/丹妮艾拉·皮内达/杰拉丁·卓别林/杰夫·高布伦/卡米尔·雷米泽斯基/丹尼尔·斯蒂森/皮特·杰森/迈克尔·帕帕约翰/罗伯特·埃姆斯/罗南·萨莫尔斯/麦克斯·贝克/丹尼尔·厄根/戴维·奥拉瓦莱·阿印德
1317,我的间谍前男友,喜剧/动作,苏珊娜·福格尔,米拉·库尼斯/凯特·麦克金农/贾斯汀·塞洛克斯/萨姆·修汉/薇尔玛·斯泽克斯/哈桑·明哈杰/凯文·亚当斯/吉莲·安德森/伊万娜·萨赫诺/简·库丁/保罗·雷瑟/弗雷德·迈拉麦德/詹姆斯·弗雷特/卡罗琳·皮克尔斯/贾斯婷·瓦希伯格/汤姆·斯托顿/罗德里克·希尔
1318,黑色党徒,剧情/传记/犯罪,斯派克·李,约翰·大卫·华盛顿/亚历克·鲍德温/小伊塞亚·维特洛克/罗伯特·约翰·伯克/布赖恩·塔伦蒂诺/阿瑟·J·纳斯加勒拉/根·加里托/弗雷德里克·韦勒/亚当·德赖弗/迈克尔·布谢米/劳拉·哈里尔/达马里斯·刘易斯/奥托·布兰克森-伍德/科里·霍金斯/法龙·索尔兹伯里/瑞安·艾戈尔德/加斯帕·帕科农/保罗·沃尔特·豪泽/阿什莉·阿特金森/托弗·戈瑞斯/维克托·科利采奇奥/埃莉斯·哈德森/丹尼·霍奇/尼古拉斯·特图罗/哈里·贝拉方特/克里斯·班克斯/克雷格·穆姆斯·格兰特/汤姆·斯特拉特福/唐纳德·特朗普/保罗·迪奥梅德/赖恩·普雷姆斯伯格/吉娜·贝拉方特/迈克尔·J·伯格/柯特·克伦德尼/大卫·杜克
1319,死亡天使,剧情/同性/传记/犯罪,路易斯·奥特加,洛伦佐·法罗/奇诺·达林/丹尼尔·凡尼戈/梅赛黛斯·莫朗/玛莱娜·维拉/塞西莉亚·罗特/索菲亚·伊内斯·托尔内/皮特·蓝萨尼/马塞洛·坎切米/路易斯·尼科/威廉·普罗赛克
1320,速成家庭,剧情/喜剧,西恩·安德斯,马克·沃尔伯格/萝丝·拜恩/伊莎贝拉·莫奈/古斯塔夫·奇洛兹/朱莉安娜·甘米兹/奥克塔维亚·斯宾瑟/泰格·诺塔洛/汤姆·赛格拉/艾琳·瑞秋/布瑞特·伦茨勒/玛格·马丁戴尔/朱丽·哈基提/迈克尔·奥吉弗/琼·库萨克/加里·维克斯/乔伊·雅各布森/安德利娅·安德斯/肯尼斯·以色列/兰德尔·P·海文斯/埃莱扎·施莱辛格/哈维尔·朗塞罗斯/伊芙·哈洛/约瑟琳·雷耶斯/约翰·麦康奈尔/查利·麦克德莫特/埃里卡·比尔曼/卡尔森·霍尔姆斯/维勒特·罗德里格斯/艾米丽塔·T·冈萨雷斯/帕蒂·舍尔哈斯/本杰明·韦弗/玛丽亚·Z·威尔逊
1321,喜欢，轻吻，快跑,剧情/爱情/同性,克里斯托夫·奥诺雷,文森特·拉科斯特/皮埃尔·德隆尚/德尼·波达利德斯/阿黛尔·维斯梅思/托马斯·冈萨雷斯/克莱蒙·梅特耶/昆廷·蒂博/特里斯坦·法尔热/索菲·勒图讷尔/马莱娜·索尔达纳/卢卡·马林诺夫斯基/埃里克·维涅尔/罗曼·施耐纳
1322,欢迎来到马文镇,剧情/传记,罗伯特·泽米吉斯,史蒂夫·卡瑞尔/法尔克·亨特切尔/马特·欧莱瑞/尼古莱·维切尔/帕特里克·罗卡斯/亚历克斯·洛韦/艾莎·冈萨雷斯/莱斯利·泽米吉斯/梅里特·韦弗/格温多兰·克里斯蒂/加奈儿·梦奈/莱斯利·曼恩/尼尔·杰克逊/西沃恩·威廉姆斯/黛安·克鲁格/埃里克·李塞德/康拉德·科茨/薇娜·苏德/帕特里克·萨邦圭/弗雷泽·艾奇逊/杰夫·桑卡/特雷弗·琼斯/莎伦·克兰德尔
1323,三重威胁之跨国大营救,动作,杰西·约翰逊,陈虎/卢靖姗/托尼·贾/伊科·乌艾斯/斯科特·阿金斯/迈克尔·加·怀特/迈克尔·比斯平/杰佳·亚宁/罗恩·斯穆安伯格
1324,你能原谅我吗？,剧情/喜剧/传记/犯罪,玛丽埃尔·海勒,梅丽莎·麦卡西/理查德·E·格兰特/多莉·韦尔斯/本·法尔科内/格里高利·克洛斯蒂舍夫斯基/简·库丁/斯蒂芬·斯皮内拉/克里斯蒂安·纳瓦罗/普·班德赫/埃里克·拉雷·哈维/布兰登·斯科特·琼斯/雪伊·德林恩/罗莎尔·卡农/安娜·迪佛·史密斯/马克·埃文·杰克逊
1325,希斯特斯兄弟,犯罪/西部/冒险,雅克·欧迪亚,约翰·C·赖利/杰昆·菲尼克斯/杰克·吉伦哈尔/里兹·阿迈德/卡罗尔·凯恩/鲁特格尔·哈尔/克瑞德·布拉顿/约翰内斯·豪克尔·约翰内森/尼尔斯·阿贺斯图普/莱克茜·本博-哈特/丽贝卡·鲁特/菲利普·罗施/邓肯·拉克鲁瓦/伊恩·雷迪丁顿/阿尔多·马兰
1326,冷战,剧情/爱情/音乐,帕维乌·帕夫利科夫斯基,尤安娜·库里克/托马斯·科特/波利斯·席克/阿伽塔·库莱沙/塞德里克·康/让娜·巴利巴尔/亚当·费仁希/亚当·沃诺维茨/亚当·斯齐斯科斯基
1327,本回家了,剧情,彼得·赫奇斯,朱莉娅·罗伯茨/卢卡斯·赫奇斯/考特尼·万斯/凯瑟琳·纽顿/雷切尔·贝·琼斯/戴维·萨迪瓦尔/亚历山德拉·帕克/迈克尔·埃斯佩尔/蒂姆·金尼/迈拉·卢克利希亚·泰勒/克里斯汀格里菲斯/亨利·斯特拉姆/比尔·布尔/亚历山德拉·艾布拉姆斯/费斯·洛根/罗伯特·迈尔斯/肖恩·雷伊
1328,阿尔法：狼伴归途,剧情/冒险,艾尔伯特·休斯,柯蒂·斯密特-麦菲/恰克/约翰内斯·豪克尔·约翰内森/娜塔莎·迈尔兹/蕾奥娜·维埃拉/延斯·赫尔腾/梅赛德斯·德拉泽尔达/普里亚·拉贾拉特南/斯潘塞·博加特/帕特里克·弗拉纳根/迈克尔·克鲁斯-代赫勒/马辛·科瓦奇克
1329,朋克武士,喜剧/动作/奇幻/冒险,石井岳龙,绫野刚/北川景子/东出昌大/染谷将太/浅野忠信/村上淳/若叶龙也/近藤公园/涩川清彦/国村隼/丰川悦司/永濑正敏
1330,老人和枪,剧情/喜剧/犯罪,大卫·洛维,罗伯特·雷德福/茜茜·斯派塞克/卡西·阿弗莱克/丹尼·格洛弗/汤姆·威兹/提卡·森普特/阿勒·伊丽莎白·约翰逊/蒂根·约翰逊/吉因·琼斯/约翰·大卫·华盛顿/巴洛·雅克布斯/奥古斯丁·弗里泽尔/小伊塞亚·维特洛克/丽雅·罗伯茨/伊丽莎白·莫斯/阿尔菲厄斯·格林/基思·卡拉丹/肯妮莎·汤普森/罗伯特·朗斯特里特/乔丹·崔威里恩/托比·豪布鲁克斯/克里斯汀·岱伊/拉里·杰克·唐森/帕姆·多尔蒂
1331,硬核机器人,喜剧,山下敦弘,山田孝之/佐藤健/荒川良良/石桥桂/首くくり栲象/康巢恩/藤原季节/松隆子
1332,假若比尔街能说话,剧情/爱情/犯罪,巴里·詹金斯,琪琪·莱恩/史蒂芬·詹姆士/雷吉娜·金/科尔曼·多明戈/泰娜·帕丽斯/迈克尔·比奇/安洁纽·艾莉丝/埃博妮·奥西迪安/多米尼克·索恩/迭戈·卢纳/芬·维特洛克/艾德·斯克林/艾米莉·里奥斯/佩德罗·帕斯卡/布莱恩·泰里·亨利/玛西娅·让·库尔茨/戴夫·弗兰科/马科·查卡/费斯·洛根/桃乐丝·麦卡锡
1333,污垢,音乐/传记,杰夫·特里梅因,机关枪凯利/埃里·恩比/道格拉斯·布斯/艾伦·杰伊·罗姆/丹尼尔·韦伯/艾丽莎·玛丽·史迪威/布兰妮·弗兰/伊万·瑞恩/凯瑟琳·莫里斯/文斯·马蒂斯
1334,正义联盟大战致命五人组,动画,刘山姆,凯文·康瑞/乔治·纽伯恩/苏珊·爱森伯格/丹妮拉·玻芭迪拉/素玛立·蒙塔诺/菲利普·安东尼-罗德里格斯/马修·杨·金/塔拉·斯特朗/黛安·格雷罗
1335,私人战争,剧情/传记/战争,马修·海涅曼,裴淳华/詹米·多南/汤姆·霍兰德/斯坦利·图齐/安东尼萨桑·杰苏萨桑
1336,无间炼狱,剧情/惊悚/犯罪,卡瑞恩·库萨马,妮可·基德曼/托比·凯贝尔/塔提阿娜·玛斯拉尼/塞巴斯蒂安·斯坦/斯科特·麦克纳里/布莱德利·惠特福德/托比·胡斯/詹姆斯·乔丹/博·纳普/杰德·佩蒂约翰/沙米尔·安德森/娜塔丽·科尔多瓦/余朝汉/简·霍格/米奇·奥黑根/布兰顿·莫拉莱斯/杰伊·赫农/乔治·格里菲斯/布瑞恩·汉福德/寇比·法兰奇/丹尼尔·索斯沃思/莫妮克·盖尔
1337,玛丽女王,剧情/传记/历史,乔西·洛克,西尔莎·罗南/玛格特·罗比/杰克·劳登/乔·阿尔文/大卫·田纳特/盖·皮尔斯/嘉玛·陈/布兰登·柯伊尔/马丁·康普斯顿/伊斯梅尔·克鲁斯·科尔多瓦/爱琳·奥伊金斯/玛丽亚·德拉格斯/伊恩·哈拉德/詹姆斯·麦卡德尔/艾德里安·莱斯特
1338,老爸102岁,剧情/喜剧,奥米史·舒克拉,阿米达普·巴强/里希·卡普尔/吉米特·特里韦迪/达尔曼德拉·吉尔
1339,滴答屋,喜剧/惊悚/奇幻/冒险,伊莱·罗斯,杰克·布莱克/凯特·布兰切特/欧文·瓦卡罗/凯尔·麦克拉克伦/芮妮·戈兹贝里/考林·加普/桑尼·苏尔季克/洛伦扎·伊佐/BraxtonBjerken/VanessaAnneWilliams/查尔斯·格林/De'JonWatts/艾伦·比尔纳/ChristianCalloway/伊莱·罗斯/AnnaChuancheun/德梅特里·兰德尔/佩拉·米德尔顿
1340,库尔斯克,剧情/历史/灾难,托马斯·温特伯格,科林·费尔斯/蕾雅·赛杜/马提亚斯·修奈尔/迈克尔·恩奎斯特/马克斯·冯·叙多夫/奥古斯特·迪赫/史蒂芬·威丁顿/潘妮拉·奥古斯特/马提亚斯·施维赫夫/扎特科·巴瑞克/乔尔·巴斯曼/马格努斯·米兰/伊娃·范·德·古奇特/古斯塔夫·汉马斯顿/约翰·霍林沃思/皮特·布科夫斯基/布贾内·亨里克森/彼得·西蒙尼舍克/拉尔斯·博格曼/蒂伊门·戈瓦尔茨/米格伦·米切夫/海伦娜·赖因科德·纳曼/皮特·泼拉格伯格/阿斯克·邦/马丁·布拉巴赫/克拉多·德·克拉伦/菲迪迦·斯图肯
1341,自由了！,剧情/喜剧/犯罪,皮埃尔·沙尔瓦多利,阿黛拉·哈内尔/皮奥·马麦/奥黛丽·塔图/达米安·勃纳尔/樊尚·埃尔巴兹/霍钦·丘特里/奥克塔夫·波斯维特/克里斯多夫·泰克
1342,冰海陷落,动作/战争,多诺万·玛什,杰拉德·巴特勒/托比·斯蒂芬斯/加里·奥德曼/科曼/琳达·卡德里尼/米哈伊尔·戈尔沃伊/迈克尔·吉普森/邓普希·博弗尔/克里·约翰逊/亚当·詹姆斯/亨利·古德曼/科林·斯廷顿/卡特·麦金太尔/施恩·泰勒/米基·柯林斯/威尔·阿滕伯勒/大卫·吉雅西/吴国耀/泰勒·约翰·史密斯/加布里埃尔·查瓦里亚/柯斯莫·贾维斯/迈克尔·特鲁科/雷恩·麦帕林/赞恩·霍尔茨/尤里·科洛科利尼科夫/伊戈尔·日日金/伊利亚·沃里克/HristoMitzkov/迈克尔·恩奎斯特/卡罗琳·古多尔/大卫·叶兰德/斯图尔特·米里根/李·阿斯奎斯-柯/西奥·巴克利姆比格斯/内森·库珀/迪诺·法赞尼/所罗门·塔伊沃·贾斯提费尔德/马里安·洛伦西克/贾森·马修森/伯纳多·桑托斯/阿塔纳斯·斯雷布雷夫
1343,印度暴徒,喜剧/动作/冒险,维贾伊·克利须那·阿查里雅,阿米尔·汗/卡特莉娜·卡芙/阿米达普·巴强/劳埃德·欧文/阿明·阿卜杜勒·奎德/法缇玛·萨那·纱卡/洛尼特·罗伊/杰奇·史洛夫/谢恩·约翰·克鲁格/巴拉特·巴蒂/曼吉特·辛格/乔·阿泽帕迪/穆罕默德·齐尚·艾布/瑟仁德·帕尔/沙棘·乔杜里/罗曼·扬科维奇
1344,斯坦和奥利,剧情/喜剧/传记,乔·拜尔德,史蒂夫·库根/约翰·C·赖利/雪莉·亨德森/妮娜·阿里安达/丹尼·赫斯顿/斯蒂芬妮·海姆/萨西·凯恩/鲁弗斯·琼斯/宾利·卡鲁/桑吉弗·科赫利/丹尼尔·弗恩/迈克尔·海登/尼克·欧文福特/哈里·赫普/加里·基利/莱蕾·迪克斯/丽贝卡·埃莉斯·兰姆/西蒙·阿格
1345,漂亮男孩,剧情,菲力斯·范·古宁根,史蒂夫·卡瑞尔/蒂莫西·柴勒梅德/毛拉·蒂尔内/克里斯蒂安·康佛瑞/凯特琳·德弗/艾米·莱安/斯戴芬妮·斯考特/朱利安·沃克斯/杰克·迪伦·格雷泽/艾米·福赛思/安德烈·罗佑/曼迪娅·弗罗里/蒂莫西·赫顿/爱德华德·弗莱彻/丽莎·盖伊·汉密尔顿/迈克尔·帕特里克·麦克吉尔/汤姆·蔡/山姆·狄龙/埃米·阿奎诺/汤姆·贝耶/朱利安·克鲁瑟/约翰·洛巴托/安东尼·斯诺/艾蒂安·维克/大卫·门登霍尔/OakleyBull/KueLawrence/RickyLow/MaryPatFarrell/杰夫·阿德勒/SashaKellyJackson/CarltonWilborn/NikkiSnipper/MarthaT.Newman/BrooklinThacher/FrederickLawrence/AnastasiaLeddick/MinervaGarcía/SeannGallagher/罗德尼·J·霍布斯
1346,王者少年,奇幻/冒险,乔·考尼什,路易斯·阿什伯恩·瑟金斯/丹妮斯·高夫/迪安·肖穆/汤姆·泰勒/雷亚安娜·杜瑞斯/内森·斯图尔特-贾瑞特/诺玛·杜梅温尼/丽贝卡·弗格森/马克·博纳尔/安格斯·里/路易斯·马丁/乔伊·安沙/亚当·利斯/亚历山德拉·罗奇/尼克·穆罕默德/帕特里克·斯图尔特/迈拉·麦克法迪/亚当·布克斯顿/克劳迪·布莱克利/吉娜薇·欧瑞丽/露丝·霍洛克斯/贾格·帕特尔/康纳·沃尔夫
1347,妈妈咪呀2,喜剧/爱情/歌舞,欧·帕克,莉莉·詹姆斯/阿曼达·塞弗里德/朱丽·沃特斯/克里斯汀·芭伦斯基/皮尔斯·布鲁斯南/斯特兰·斯卡斯加德/科林·费尔斯/多米尼克·库珀/杰瑞米·艾文/亚历克萨·戴维斯/杰西卡·基南·温/乔什·迪伦/休·斯金纳/雪儿/梅丽尔·斯特里普/安迪·加西亚/西莉亚·伊姆里/欧米德·吉亚李利/杰拉德·摩纳科/森尚子/伊川东吾/阿纳斯塔西娅·希尔/苏珊娜·巴克莱德/乔纳森·戈德史密斯/凯西·克莱尔/班尼·安德森/戴尔·布兰斯顿/亚历珊德拉·福特
1348,挪威7·22爆炸枪击案,剧情/历史/犯罪,保罗·格林格拉斯,安德斯·丹尼尔森·李/乔纳斯·斯特兰德·格利/乔恩·奥伊登/玛丽亚·波克/托尔比约恩·哈尔/乌里克·汉森·多维根/托恩·丹尼尔森/安尼克·冯·德·利佩/拉尔斯·阿兰兹-汉森/爱因德·伊恩沃德
1349,边境杀手2：边境战士,剧情/动作/犯罪,斯特法诺·索利马,本尼西奥·德尔·托罗/乔什·布洛林/伊莎贝拉·莫奈/凯瑟琳·基纳/杰弗里·多诺万/马修·莫迪恩/吉姆·戴佛提/伊恩·鲍汉/曼努埃尔·加西亚-鲁尔福/杰克·皮克金/布鲁诺·庇屈/杰克莫·巴泽尔/以利亚·罗德里格斯
1350,孤狼之血,剧情/犯罪,白石和弥,役所广司/松坂桃李/真木阳子/泷藤贤一/田口智朗/石桥莲司/江口洋介/竹野内丰/阿部纯子/泷正则/中村伦也/中村狮童
1351,逃出水泥地,剧情/动作/惊悚/犯罪,S·克雷格·扎勒,梅尔·吉布森/詹妮弗·卡朋特/文斯·沃恩/劳瑞·侯登/唐·约翰逊/迈克尔·加·怀特/托马斯·克莱舒曼/乌多·基尔/安德鲁·邓巴/托利·基特尔斯/弗雷德·迈拉麦德/特雷佐·马霍洛/迈尔斯·特鲁伊特/詹·格里芬/王卡帝/克莱尔·菲利保/维罗妮卡·伦敦/大卫·昆兰/保罗·罗吉克
1352,指挥家,传记,玛利亚·彼特斯,克里斯蒂亚娜‧德‧布奥恩/本杰明·温赖特/斯科特·特纳·菲尔德/塞马斯·F·萨金特/安妮特·马尔赫毕/雷蒙德·提哈瑞/吉斯·舒尔腾·范·艾查特/理查德·塞梅尔/西恩·托马斯/蒂姆·埃亨/席琳·珀赛尔/奇普·布雷/玛丽-克莱尔·维特洛克斯/杰里迈亚·弗莱明/詹姆斯·卡罗尔·乔丹
1353,肆式青春,动画,李豪凌/易小星/竹内良贵,坂泰斗/寿美菜子/白石晴香/安元洋贵/大冢刚央/长谷川育美/白客/彭师欣/唐雅菁/陈颖晖/梁达伟/林美玉
1354,盛夏,音乐/传记,基里尔·谢列布连尼科夫,刘太旿/伊琳娜·斯达申鲍姆/罗曼·比利克/菲利普·阿杰耶夫/亚历山大·戈尔奇林/尼基塔·叶甫列莫夫/尤利娅·奥格/叶莲娜·科连诺娃/莉亚·阿赫扎科娃/安东·阿达辛斯基
1355,寡妇联盟,剧情/惊悚/犯罪,史蒂夫·麦奎因,维奥拉·戴维斯/连姆·尼森/乔·博恩瑟/曼努埃尔·加西亚-鲁尔福/科布恩·格罗斯/米歇尔·罗德里格兹/伊丽莎白·德比茨基/凯莉·库恩/罗伯特·杜瓦尔/科林·法瑞尔/布莱恩·泰里·亨利/丹尼尔·卡卢亚/迈克尔·哈尔尼/安·米切尔/杰基·韦佛/斯蒂芬·希尔/加瑞特·迪拉胡特/凯文·J·奥康纳/乔恩·迈克尔·希尔/辛西娅·艾莉佛/迪安娜·里德-福斯特/阿德普波·奥杜耶/卢卡斯·哈斯/斯蒂夫·托瓦/马克·兰开斯特/马特·沃尔什/大卫·邓斯顿/AlejandroVerdin/BaileyRhyseWalters/索科萝·圣地亚哥/约书亚·拜尔沃特/桐瑞·何/克里斯·诺尔特/斯利姆·克什里
